Pirgua|EL RUBI|SAN ROQUE|EL ARRAYAN
La Hoya||EL ARRABAL|LOS GARAVATOS
La Hoya|EL ARRABAL|EL ARRABAL|SAN ANTONIO
La Hoya|EL RAQUE|MONSERRATE|LAS LOMITAS
La Hoya|EL RAQUE|EL ARRABAL|LC 2
Chorro Blanco - La Primavera|EL CAMPAMENTO VD RUNTA|QUEBRADA HONDA|LA AGUADITA
Baron Germania|EL PARAISO|EL MORTINO|VILLA MARIA
Baron Gallero|EL MORTINO|EL PARAISO|LA CABANA
La Lajita|SAN JOSE|EL ARRABAL|LA PLAYA
Baron Germania|CA|EL PARAISO|SANTA TERESITA
Baron Germania|CA|EL PARAISO|EL CHUSCALITO
La Lajita|SAN JOSE|LAS MANITAS|CABANA SEGUNDA
La Lajita|EL SALTO||EL SALTO
La Hoya|EL MIRADOR||EL RIO
La Hoya|LA HOYA|EL ARRABAL|EL TRIANGULO
La Hoya|LA HOYA||CA LA HOYA
La Hoya|EL MIRADOR|EL ARRABAL|KR DE PIEDRAS
La Hoya|SAN FRANCISCO||SAN FRANCISCO
Baron Gallero|SAN JUAN||ARAUCA
Chorro Blanco - La Primavera|QUEBRADA HONDA|EL CAMPAMENTO VD RUNTA|VILLA RICA
Runta|LOS ENCENILLOS||BUENAVISTA
Chorro Blanco - La Primavera||EL CAMPAMENTO VD RUNTA|CIRAGUATA
La Lajita|EL PLACER|BUENOS AIRES|EL PLACER
Runta Parte Alta|TERRENO|LA PIEDRA|TERRENO
Runta Parte Alta|||PALOMAR
Runta Parte Alta|VILLA NATIVIDAD||EL MZO
La Hoya||LA CABAA|LOS SAUCES
La Hoya|SAN CAYETANO|LA VIOLETA|LAS DALIAS
La Hoya|||RAQUIRA
La Hoya|SAN CAYETANO|EL ARRABAL|LA ESMERALDA
La Hoya|LA CABAA|LA PLAYA|LA CABAA
La Hoya|SAN CAYETANO||NATAGAIMA
Chorro Blanco - La Primavera|LA FRONTERA|LOMA LINDA|LA PRADERA
La Hoya|B||LT 11
La Lajita|EL MORTINO|EL MANANTIAL|BTS 10 DO 13 FRANJA DE TERREN
La Hoya|EL MANANTIAL|EL MORTINO|LC 7
La Lajita|LA ESPERANZA||LA ESPERANZA
Runta|LOS ENCENILLOS||LOS ENCENILLOS
Chorro Blanco - La Primavera|PENA NEGRA||PENA NEGRA
